Anode No,Anode Category,EL. Zone (m),"Depletion 
May 2001","Depletion 
Feb 2014","Depletion 
April 2016","Depletion 
July 2024",Depletion Category,Unnamed: 8,Ia,Unnamed: 10,Unnamed: 11,Anode Stage (Ori),Anode Quantity (Ori),Ia' (A'),∑Ia' (A'),Unnamed: 16,Anode Stage (retrofit),Anode Quantity (retrofit),Ia_r(A_r),∑Ia_r(A_r)
BAN139,Original,-33.0,0.1,,26-50%,,2.0,,1.5305469997246555,,,,,,,,,,,
BAN140,Original,-36.5,0.1,21-30%,26-50%,,2.0,,1.5305469997246555,,,,,,,,,,,
BAN141,Original,-29.5,0.1,21-30%,26-50%,,2.0,,1.5305469997246555,,,,,,,,,,,
BAN142,Original,-29.5,0.1,21-30%,26-50%,,2.0,,1.5305469997246555,,,,,,,,,,,
BAN143,Original,-36.5,0.1,21-30%,26-50%,,2.0,,1.5305469997246555,,,,,,,,,,,
BAN144,Original,-33.0,0.1,,26-50%,,2.0,,1.5305469997246555,,,,,,,,,,,
BAN145,Original,-32.75,0.1,21-30%,51-75%,,3.0,,2.2958371011935386,,,,,,,,,,,
BAN146,Original,-46.25,0.1,21-30%,51-75%,,3.0,,2.2958371011935386,,,,,,,,,,,
BAN147,Original,-46.25,0.1,21-30%,26-50%,,2.0,,1.5305469997246555,,,,,,,,,,,
BAN148,Original,-32.75,0.1,21-30%,26-50%,,2.0,,1.5305469997246555,,,,,,,,,,,
BAN149,Original,-32.75,0.1,21-30%,26-50%,,2.0,,1.5305469997246555,,,,,,,,,,,
BAN150,Original,-46.25,0.1,21-30%,26-50%,,2.0,,1.5305469997246555,,,,,,,,,,,
BAN151,Original,-32.75,0.1,,26-50%,,2.0,,1.5305469997246555,,,,,,,,,,,
BAN152,Original,-46.25,0.1,,26-50%,,2.0,,1.5305469997246555,,,,,,,,,,,
BAN153,Original,-53.0,0.1,,26-50%,,2.0,,1.5305469997246555,,,,,,,,,,,
BAN154,Original,-53.0,0.1,,26-50%,,2.0,,1.5305469997246555,,,,,,,,,,,
BAN155,Original,-53.0,0.1,,26-50%,,2.0,,1.5305469997246555,,,,,,,,,,,
BAN156,Original,-53.0,0.1,,26-50%,,2.0,,1.5305469997246555,,,,,,,,,,,
BAN157,Original,-53.0,0.1,,26-50%,,2.0,,1.5305469997246555,,,,,,,,,,,
BAN158,Original,-53.0,0.1,,51-75%,,3.0,,2.2958371011935386,,,,,,,,,,,
BAN159,Original,-53.0,0.1,,51-75%,,3.0,,2.2958371011935386,,,,,,,,,,,
BAN160,Original,-53.0,0.1,,51-75%,,3.0,,2.2958371011935386,,,,,,,,,,,
BAN161,Original,-53.0,0.1,,51-75%,,3.0,,2.2958371011935386,,,,,,,,,,,
BAN162,Original,-53.0,0.1,,51-75%,,3.0,,2.2958371011935386,,,,,,,,,,,
BAN163,Original,-53.0,0.1,21-30%,26-50%,,2.0,,1.5305469997246555,,,,,,,,,,,
BAN164,Original,-53.0,0.1,21-30%,26-50%,,2.0,,1.5305469997246555,,,,,,,,,,,
BAN165,Original,-53.0,0.1,21-30%,26-50%,,2.0,,1.5305469997246555,,,,,,,,,,,
BAN166,Original,-53.0,0.1,21-30%,26-50%,,2.0,,1.5305469997246555,,,,,,,,,,,
BAN167,Original,-53.0,0.1,21-30%,26-50%,,2.0,,1.5305469997246555,,,,,,,,,,,
BAN168,Original,-53.0,0.1,21-30%,26-50%,,2.0,,1.5305469997246555,,,,,,,,,,,
BAN169,Original,-53.0,0.1,21-30%,26-50%,,2.0,,1.5305469997246555,,,,,,,,,,,
BAN170,Original,-53.0,0.1,21-30%,26-50%,,2.0,,1.5305469997246555,,,,,,,,,,,
BAN171,Original,-53.0,0.1,Missing,26-50%,,2.0,,1.5305469997246555,,,,,,,,,,,
BAN172,Original,-53.0,0.1,21-30%,26-50%,,2.0,,1.5305469997246555,,,,,,,,,,,
BAN173,Original,-59.75,0.1,,26-50%,,2.0,,1.5305469997246555,,,,,,,,,,,
BAN174,Original,-73.25,0.1,,26-50%,,2.0,,1.5305469997246555,,,,,,,,,,,
BAN175,Original,-73.25,0.1,,26-50%,,2.0,,1.5305469997246555,,,,,,,,,,,
BAN176,Original,-59.75,0.1,,26-50%,,2.0,,1.5305469997246555,,,,,,,,,,,
BAN177,Original,-64.58,0.1,,51-75%,,3.0,,2.2958371011935386,,,,,,,,,,,
BAN178,Original,-59.75,0.1,,51-75%,,3.0,,2.2958371011935386,,,,,,,,,,,
BAN179,Original,-73.25,0.1,,51-75%,,3.0,,2.2958371011935386,,,,,,,,,,,
BAN180,Original,-59.75,0.1,,51-75%,,3.0,,2.2958371011935386,,,,,,,,,,,
BAN181,Original,-59.75,0.1,,51-75%,,3.0,,2.2958371011935386,,,,,,,,,,,
BAN182,Original,-73.5,0.1,,51-75%,,3.0,,2.2958371011935386,,,,,,,,,,,
BAN183,Original,-59.75,0.1,,51-75%,,3.0,,2.2958371011935386,,,,,,,,,,,
BAN184,Original,-72.1,0.1,,51-75%,,3.0,,2.2958371011935386,,,,,,,,,,,
BAN185,Original,-57.5,0.1,,51-75%,,3.0,,2.2958371011935386,,,,,,,,,,,
BAN186,Original,-66.5,0.1,,51-75%,,3.0,,2.2958371011935386,,,,,,,,,,,
BAN187,Original,-75.5,0.1,,51-75%,,3.0,,2.2958371011935386,,,,,,,,,,,
BAN188,Original,-78.0,0.1,,51-75%,,3.0,,2.2958371011935386,,,,,,,,,,,
BAN189,Original,-72.7,0.1,,51-75%,,3.0,,2.2958371011935386,,,,,,,,,,,
BAN190,Original,-61.7,0.1,,51-75%,,3.0,,2.2958371011935386,,,,,,,,,,,
BAN191,Original,-59.75,0.1,,51-75%,,3.0,,2.2958371011935386,,,,,,,,,,,
BAN192,Original,-69.88,0.1,,51-75%,,3.0,,2.2958371011935386,,,,,,,,,,,
BAN193,Original,-76.63,0.1,,51-75%,,3.0,,2.2958371011935386,,,,,,,,,,,
BAN194,Original,-57.5,0.1,,51-75%,,3.0,,2.2958371011935386,,,,,,,,,,,
BAN195,Original,-66.5,0.1,,51-75%,,3.0,,2.2958371011935386,,,,,,,,,,,
BAN196,Original,-75.5,0.1,,76-100%,,4.0,,3.061100146467988,,,,,,,,,,,
BAN197,Original,-57.5,0.1,,51-75%,,3.0,,2.2958371011935386,,,,,,,,,,,
BAN198,Original,-66.5,0.1,,51-75%,,3.0,,2.2958371011935386,,,,,,,,,,,
BAN199,Original,-75.5,0.1,,51-75%,,3.0,,2.2958371011935386,,,,,,,,,,,
BAN200,Original,-76.63,0.1,,26-50%,,2.0,,1.5305469997246555,,,,,,,,,,,
BAN201,Original,-69.88,0.1,,26-50%,,2.0,,1.5305469997246555,,,,,,,,,,,
